Código MP;Nome MP;Volume Anual (kg);Preço Referência (USD);Fornecedor Selecionado;Estado Fornecedor;Homologado;Preço (USD);Custo Projetado (USD);Saving Unitário (USD);Saving Unitário (%);Saving Total (USD);Lote Mínimo (MOQ);Lead Time c/ Estoque;Lead Time s/ Estoque;Status;Ação / Observação;Data Decisão
MP0036;D PANTENOL (D PANTENOL 75%);1194,05;8,3000;BARUQUIMICA;SP;Não - Homologar;7,6808;;;;;;;;A HOMOLOGAR;;21/03/2026
MP0040;STERARAMIDO PROPIL DIMETIL AMINA;1080,98;3,0000;INOLEX;ES;Não - Homologar;1,6702;;;;;22.68;70;90;A HOMOLOGAR;;21/03/2026
MP0041;BHT;231,48;4,7400;Oxigen;ES;Não - Homologar;4,5150;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0002;ACIDO LATICO 85%;6708,67;1,7600;Oxigen;ES;Não - Homologar;1,9160;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0017;MISTURA DE IZOTIAZOLINONA;540,39;0,9700;FOCUS QUÍMICA;SP;Não - Homologar;0,8200;;;;;25;90;90;A HOMOLOGAR;;21/03/2026
MP0042;ALCOOL CETILICO;1789,01;2,8500;Oxigen;ES;Não - Homologar;3,1790;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;21/03/2026
MP0093;SENSACTIVE L-30;1114,05;11,7900;ALPHA QUIMICA2;ES;Não - Homologar;2,9708;;;;;200;5;60;A HOMOLOGAR;;23/03/2026
MP0044;K-OIL BLEND 12 OLEOS;2128,19;10,5900;MAIAN;ES;Não - Homologar;7,1194;;;;;;imediato;10 dias;A HOMOLOGAR;;23/03/2026
MP0046;FENOXIETANOL;3373,84;3,2600;THOR2;SP;Não - Homologar;3,1500;;;;;25;7;90-110;A HOMOLOGAR;;23/03/2026
MP0052;CL CETIL TRI AMONIO 50% (QUATER DE AMONI);14078,35;2,1000;MAIAN;SP;Não - Homologar;2,1528;;;;;;imediato;10 a 20 dias;A HOMOLOGAR;;23/03/2026
MP0062;VARISOFT (BTMS)PELLETS- (TMS);1800,30;5,5600;AQIA;;Não - Homologar;5,5600;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0063;TEGO AMID S18;4032,95;5,2200;AQIA;ES;Não - Homologar;2,8700;;;;;20kg;;;A HOMOLOGAR;;23/03/2026
MP0064;OLEO DE BAOBA MATERIA PRIMA;1033,83;8,7100;KHOL QUIMICA2;ES;Não - Homologar;6,9600;;;;;4;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0066;PROTEINA DO ARROZ;534,54;6,2600;BARUQUIMICA;ES;Não - Homologar;3,9269;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0067;MICA PRATA(SUNPEARL GLITTERING WHITE);510,27;29,0000;FOCUS QUÍMICA;SP;Não - Homologar;29,7700;;;;;25;120;120;A HOMOLOGAR;;23/03/2026
MP0069;OLEO DE PRACAXI (ÓLEO VEGETAL DE PRACAXI);3004,86;7,2000;BARUQUIMICA;ES;Não - Homologar;4,9962;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0071;VARISOFT BT 85 PELLETS;4198,72;8,0900;KHOL QUIMICA2;ES;Não - Homologar;7,6900;;;;;25;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0072;POLIMERO S-30- BALAI;2028,55;2,5700;KHOL QUIMICA;ES;Não - Homologar;2,5700;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0073;OLEO DE BURITI (ÓLEO VEGETAL DE BURIRI);92,67;11,2600;BARUQUIMICA;SP;Não - Homologar;4,9962;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0074;SILICONE 1411;8334,66;3,8100;MCASSAB;SP;Não - Homologar;3,4971;;;;;200;;;A HOMOLOGAR;;23/03/2026
MP0075;OLEO DE PEQUI (ÓLEO VEGETAL DE PEQUI);2,79;11,2600;BARUQUIMICA;SP;Não - Homologar;4,9962;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0077;OLEO ARGAN (ÓLEO VEGETAL DE ARGAN);2,08;26,5200;BARUQUIMICA;SP;Não - Homologar;9,8096;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0080;OLEO DE RICINO HIDROGENADO;31,49;7,6200;KHOL QUIMICA;ES;Não - Homologar;5,8000;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0082;GENENCARE OSMS BA;404,43;26,8200;BRENNTAG;ES;Não - Homologar;13,7700;;;;;20;2;90;A HOMOLOGAR;;23/03/2026
MP0084;LAURIL SULFOSUCCINATO;26197,89;2,2400;AQIA;ES;Não - Homologar;1,4400;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0084;LAURIL SULFOSUCCINATO;26197,89;2,2400;ALPHA QUIMICA;SP;Não - Homologar;2,0996;;;;;1000;5;15;A HOMOLOGAR;;23/03/2026
MP0087;SOFTCAT POLYMER SX-1300X BT308 -;124,36;62,0000;KHOL QUIMICA2;ES;Não - Homologar;53,0000;;;;;25;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0088;ACIDO CITRICO ANIDRO;519,58;1,8300;Oxigen;ES;Não - Homologar;1,7769;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;23/03/2026
MP0088;ACIDO CITRICO ANIDRO;519,58;1,8300;MAIAN;ES;Não - Homologar;1,7280;;;;;;imediato;25;A HOMOLOGAR;;23/03/2026
MP0095;MAIZECARE POLYMER;1032,89;24,8800;BASF;SP;Não - Homologar;12,9600;;;;;25kg;4 dias úteis;90 dias;A HOMOLOGAR;;23/03/2026
MP0111;OLEO DE BABACU (ÓLEO VEGETAL DE BABAÇU);369,62;3,0300;KHOL QUIMICA2;ES;Não - Homologar;2,3577;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0122;OLEO ESSENCIAL DE OREGANO;36,13;85,0000;ROBERTET;ES;Não - Homologar;31,2000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0103;MENTHOL;215,35;21,0600;MCASSAB;SP;Não - Homologar;20,1179;;;;;25;;;A HOMOLOGAR;;23/03/2026
MP0103;MENTHOL;215,35;21,0600;Oxigen;ES;Não - Homologar;18,1600;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;23/03/2026
MP0104;ETANOL- ALCOOL ETILICO 96%;1610,35;1,1300;QUIMIFORMULA;ES;Não - Homologar;0,8558;;;;;15000l;4;;A HOMOLOGAR;;23/03/2026
MP0106;POLISSORBATO 20 / TWEEN 20;2208,77;28,6600;ALPHA QUIMICA;SP;Não - Homologar;3,5545;;;;;220;5;60;A HOMOLOGAR;;23/03/2026
MP0106;POLISSORBATO 20 / TWEEN 20;2208,77;28,6600;MAIAN;ES;Não - Homologar;3,0500;;;;;;imediato;30 a 60 dias;A HOMOLOGAR;;23/03/2026
MP0108;ESFOLIANTE OLIVE BODY COD2503001R;212,59;55,5800;FOCUS QUÍMICA;SP;Não - Homologar;35,7900;;;;;20;90;90;A HOMOLOGAR;;23/03/2026
MP0127;OLEO ESSENCIAL DE PIMENTA NEGRA;145,36;28,1800;ROBERTET;ES;Não - Homologar;22,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0131;OLEO ESSENCIAL DE GRAPEFRUIT;6,00;196,0000;ROBERTET;ES;Não - Homologar;135,4000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0136;OLEO ESSENCIAL DE LARANJA;1028,44;34,3600;ROBERTET;ES;Não - Homologar;18,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0126;OLEO ESSENCIAL DE BERGAMOTA;37,84;133,0000;DIERBERGER;SP;Não - Homologar;82,6200;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0126;OLEO ESSENCIAL DE BERGAMOTA;37,84;133,0000;ROBERTET;ES;Não - Homologar;111,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0112;LAURIL ETER SULFATO DE SODIO 70%;2460,24;2,4400;MCASSAB;SP;Não - Homologar;2,0825;;;;;1000;;;A HOMOLOGAR;;23/03/2026
MP0112;LAURIL ETER SULFATO DE SODIO 70%;2460,24;2,4400;BRENNTAG;ES;Não - Homologar;1,5200;;;;;220;4;60;A HOMOLOGAR;;23/03/2026
MP0115;OLEO ESSENCIAL DE ALECRIM;509,53;61,2000;DIERBERGER;SP;Não - Homologar;47,5800;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0138;OLEO ESSENCIAL DE LAVANDA FRANCESA;1464,22;78,1800;LEGEE;SP;Não - Homologar;80,7692;;;;;1;1;60;A HOMOLOGAR;;23/03/2026
MP0140;OLEO ESSENCIAL DE MIRRA;226,00;29,8600;ROBERTET;ES;Não - Homologar;18,9000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0141;OLEO ESSENCIAL DE JASMIM;31,76;73,1300;ROBERTET;ES;Não - Homologar;63,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0198;OLEO ESSENCIAL DE SALVIA ESCLAREIA;34,29;26,7200;IBERIA;SP;Não - Homologar;33,9882;;;;;;7;;A HOMOLOGAR;;23/03/2026
MP0270;TRIETANOLAMINA 99;397,42;5,9100;ANASTACIO;SP;Não - Homologar;2,1900;;;;;230;12 dias;120;A HOMOLOGAR;;23/03/2026
MP0270;TRIETANOLAMINA 99;397,42;5,9100;MCASSAB;SP;Não - Homologar;3,4028;;;;;230;;;A HOMOLOGAR;;23/03/2026
MP0211;ÓLEO DE MAMONA HIDROGENADO ETOXILADO 40 E / EUMULGIN CO40;363,53;6,1800;ANASTACIO;SP;Não - Homologar;2,9300;;;;;200;12 dias;110;A HOMOLOGAR;;23/03/2026
MP0211;ÓLEO DE MAMONA HIDROGENADO ETOXILADO 40 E / EUMULGIN CO40;363,53;6,1800;KHOL QUIMICA;ES;Não - Homologar;5,8000;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0167;OLEO ESSENCIAL DE SANDALO AMYRIS;61,55;51,0800;IBERIA;SP;Não - Homologar;44,9843;;;;;;7;;A HOMOLOGAR;;23/03/2026
MP0169;OLEO ESSENCIAL DE LIMÃO SICILIANO;1327,21;11,2000;ROBERTET;ES;Não - Homologar;11,2000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0144;OLEO ESSENCIAL DE MIRRA;27,95;11,9400;ROBERTET;ES;Não - Homologar;1666,7000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0145;OLEO ESSENCIAL DE OLIBANO;2,85;93,9600;ROBERTET;ES;Não - Homologar;491,3000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0146;OLEO ESSENCIAL DE OREGANO;1,46;66,8000;IBERIA;SP;Não - Homologar;139,9513;;;;;;7;;A HOMOLOGAR;;23/03/2026
MP0147;OLEO ESSENCIAL DE PALMAROSA;50,42;78,0000;DIERBERGER;SP;Não - Homologar;67,7700;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0148;OLEO ESSENCIAL NOZ MOSCADA;60,94;161,1000;IBERIA;SP;Não - Homologar;189,9339;;;;;;7;;A HOMOLOGAR;;23/03/2026
MP0149;OLEO ESSENCIAL DE PETITGRAIN;17,31;129,6700;DIERBERGER;SP;Não - Homologar;75,3300;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0151;OLEO ESSENCIAL DE SALVIA ESCLAREIA;0,66;265,0000;DIERBERGER;SP;Não - Homologar;192,0900;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0154;OLEO ESSENCIAL DE PATCHOULI;714,48;58,0400;DIERBERGER;SP;Não - Homologar;72,1100;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0155;OLEO ESSENCIAL DE TOMILHO;13,32;72,0000;DIERBERGER;SP;Não - Homologar;29,5100;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0158;OLEO ESSENCIAL DE YLANG-YLANG III;9,77;36,4300;DIERBERGER;SP;Não - Homologar;92,9400;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0236;GOMA XANTANA;43,68;3,0600;MAIAN;SP;Não - Homologar;2,4698;;;;;;imediato;30 a 60 dias;A HOMOLOGAR;;23/03/2026
MP0236;GOMA XANTANA;43,68;3,0600;KHOL QUIMICA;ES;Não - Homologar;0,7692;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0160;OLEO DE AÇAI;3,04;40,2400;IBERIA;SP;Não - Homologar;122,9572;;;;;;7;;A HOMOLOGAR;;23/03/2026
MP0215;OLEO ESSENCIAL DE COPAÍBA BALSAMO;103,49;50,2900;GLAMIR;ES;Não - Homologar;41,6700;;;;;1;5 DIAS;45 DIAS;A HOMOLOGAR;;23/03/2026
MP0215;OLEO ESSENCIAL DE COPAÍBA BALSAMO;103,49;50,2900;ROBERTET;SP;Não - Homologar;61,6500;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0161;AMENDOA DOCE NACIONAL;712,97;5,0300;KHOL QUIMICA2;ES;Não - Homologar;3,4200;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0161;AMENDOA DOCE NACIONAL;712,97;5,0300;SARFAM;ES;Não - Homologar;6,0827;;;;;25;10;10;A HOMOLOGAR;;23/03/2026
MP0163;OLEO DE CASTANHA DO PARA;1,49;17,9200;CAMPESTRE;SP;Não - Homologar;4,2654;;;;;;5 DIAS;;A HOMOLOGAR;;23/03/2026
MP0166;GIRASSOL;2289,36;3,1400;KHOL QUIMICA2;ES;Não - Homologar;2,6900;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0171;OLEO ESSENCIAL DE CAMOMILA ROMANA;0,03;2247,5400;ROBERTET;ES;Não - Homologar;1100,3000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0172;OLEO ESSENCIAL DE CEDRO VIRGINIA;28,50;30,0000;DIERBERGER;SP;Não - Homologar;49,1000;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0219;AJIDEW NL-50 / PCA SÓDICO 50%;37,23;7,0300;BARENTZ;SP;Não - Homologar;11,7900;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0178;OLEO ESSENCIAL DE JASMIM;0,04;10687,6200;CITRAL;SP;Não - Homologar;2157,9700;;;;;1;;;A HOMOLOGAR;;23/03/2026
MP0178;OLEO ESSENCIAL DE JASMIM;0,04;10687,6200;ROBERTET;ES;Não - Homologar;6768,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0179;OLEO ESSENCIAL DE LAVANDA 40/42;358,96;117,0000;DIERBERGER;SP;Não - Homologar;56,0200;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0182;OLEO ESSENCIAL DE GENGIBRE;68,59;43,2200;DIERBERGER;SP;Não - Homologar;47,9700;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0184;OLEO ESSENCIAL NOZ MOSCADA;6,23;149,3100;ROBERTET;SP;Não - Homologar;122,0000;;;;;1;10;60;A HOMOLOGAR;;23/03/2026
MP0442;FIX VIC;2079,75;12,0800;VANTAGE;ES;Não - Homologar;3,8035;;;;;250;3;137;A HOMOLOGAR;;23/03/2026
MP0186;PIMENTA NEGRA;18,71;204,3200;CITRAL;SP;Não - Homologar;137,6100;;;;;19;;;A HOMOLOGAR;;23/03/2026
MP0186;PIMENTA NEGRA;18,71;204,3200;INSPIRATION;SP;Não - Homologar;145,5000;;;;;1;3;100;A HOMOLOGAR;;23/03/2026
MP0187;OLEO ESSENCIAL DE ROSA;0,16;11159,1400;CITRAL;SP;Não - Homologar;202,8400;;;;;1;;;A HOMOLOGAR;;23/03/2026
MP0221;ÁLCOOL ETÍLICO DE CEREAIS 96°GL;9499,59;6,2600;KHOL QUIMICA2;ES;Não - Homologar;1,6000;;;;;20;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0222;ARLAMOL PS 15 E / LIPOCOL P-15;1118,92;25,4700;BRENNTAG;ES;Não - Homologar;7,5900;;;;;195;5;30;A HOMOLOGAR;;23/03/2026
MP0445;HARMONIE SOFT FLUID (ALPHA OIL GS310);298,11;4,0400;null;;Não - Homologar;;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0445;HARMONIE SOFT FLUID (ALPHA OIL GS310);298,11;4,0400;COSMETO / SUMMIT;ES;Não - Homologar;20,0000;;;;;0;3;145;A HOMOLOGAR;;23/03/2026
MP0225;CARBOPOL ULTREZ 21;182,90;39,7600;FOCUS QUÍMICA;SP;Não - Homologar;16,3700;;;;;20;30;30;A HOMOLOGAR;;23/03/2026
MP0450;EXTRATO GLICOLICO DE MIRRA 60% (EXTRATO GLICÓLICO DE MIRRA 35%);575,40;8,1300;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0232;DIMETHICONE;262,91;8,5400;BRENNTAG;ES;Não - Homologar;3,7800;;;;;180;5;60;A HOMOLOGAR;;23/03/2026
MP0237;HYDROVANCE (HIDROXIETIL UREIA);952,52;10,6900;BASF;SP;Não - Homologar;5,2100;;;;;25KG;4 dias úteis;90 dias;A HOMOLOGAR;;23/03/2026
MP0226;CETEARETH-20;566,49;4,5900;Oxigen;ES;Não - Homologar;2,5870;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;23/03/2026
MP0226;CETEARETH-20;566,49;4,5900;MCASSAB;SP;Não - Homologar;2,7505;;;;;25;;;A HOMOLOGAR;;23/03/2026
MP0449;EXTRATO GLICOLICO DE JOJOBA 60% (EXTRATO GLICÓLICO DE JOJOBA 35%);575,40;5,3700;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0233;EXTRATO HG ROSAS BRANCAS;28,14;5,7900;KHOL QUIMICA2;ES;Não - Homologar;3,1000;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0233;EXTRATO HG ROSAS BRANCAS;28,14;5,7900;PHYTOVITAL;SP;Não - Homologar;4,5000;;;;;5;;;A HOMOLOGAR;;23/03/2026
MP0455;OLEO DE ALGODAO;1220,55;2,9400;KHOL QUIMICA;ES;Não - Homologar;3,8692;;;;;50;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0456;ALCOOL DE CEREAIS;57,01;1,6500;KHOL QUIMICA;ES;Não - Homologar;1,8269;;;;;20;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0238;LIPOCOL SC-20 / EUMULGIN B2 / ALKONAT CE 200 F / CETEARETH 20 VIC;176,36;41,0800;BRENNTAG;ES;Não - Homologar;5,7700;;;;;20;4;30;A HOMOLOGAR;;23/03/2026
MP0271;VASELINA SÓLIDA BRANCA;367,82;4,0700;Oxigen;ES;Não - Homologar;2,1080;;;;;;IMEDIATO;5 DIAS;A HOMOLOGAR;;23/03/2026
MP0271;VASELINA SÓLIDA BRANCA;367,82;4,0700;ANASTACIO;SP;Não - Homologar;2,1000;;;;;0;12 dias;130;A HOMOLOGAR;;23/03/2026
MP0244;ÓLEO DE ROSA MOSQUETA / VEG OIL ROSA MOSQUETA P (ÓLEO VEGETAL DE ROSAS MOSQUETA);8126,88;13,0600;PHYTOVITAL;SP;Não - Homologar;4,5000;;;;;5;;;A HOMOLOGAR;;23/03/2026
MP0244;ÓLEO DE ROSA MOSQUETA / VEG OIL ROSA MOSQUETA P (ÓLEO VEGETAL DE ROSAS MOSQUETA);8126,88;13,0600;BARUQUIMICA;SP;Não - Homologar;4,9962;;;;;;;8 dias úteis;A HOMOLOGAR;;23/03/2026
MP0244;ÓLEO DE ROSA MOSQUETA / VEG OIL ROSA MOSQUETA P (ÓLEO VEGETAL DE ROSAS MOSQUETA);8126,88;13,0600;KHOL QUIMICA;ES;Não - Homologar;11,4000;;;;;1;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0245;ÓLEO MINERAL;476,00;1,7000;BARUQUIMICA;SP;Não - Homologar;1,2865;;;;;;3 dias úteis;;A HOMOLOGAR;;23/03/2026
MP0462;ROSA MOSQUETA GLICOLICO;35,27;7,6000;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0463;PHYTOATTIVE ARROZ GLIC;16,37;3,6000;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0246;PARSOL MCX / METOXICINAMATO DE ETILHEXIL;21,38;13,2000;FOCUS QUÍMICA;SP;Não - Homologar;15,0600;;;;;200;90;90;A HOMOLOGAR;;23/03/2026
MP0249;POLAWAX NF;4565,41;7,8500;BARENTZ;SP;Não - Homologar;6,2300;;;;;;;;A HOMOLOGAR;;23/03/2026
MP0250;PROPANEDIOL;2962,46;7,2800;ANASTACIO2;SP;Não - Homologar;5,4500;;;;;200;12 dias;120;A HOMOLOGAR;;23/03/2026
MP0252;SILICONE DC 245;173,09;3,3800;FOCUS QUÍMICA;SP;Não - Homologar;2,9400;;;;;190;90;90;A HOMOLOGAR;;23/03/2026
MP0269;TREALOSE;154,77;7,5900;ANASTACIO;SP;Não - Homologar;3,6000;;;;;25;12 dias;120;A HOMOLOGAR;;23/03/2026
MP0269;TREALOSE;154,77;7,5900;DINACO;SP;Não - Homologar;10,9196;;;;;20;3;120;A HOMOLOGAR;;23/03/2026
MP0470;VIT. E ACETATE OLEOSA 100/ VIT. E ACET 100% / 98% /TOCOPHERYL ACETATE/VITAMIN E ACET;2,52;22,8000;KHOL QUIMICA;ES;Não - Homologar;22,8000;;;;;4;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0440;HIDRAGLOSS QUAT 22;238,07;31,2900;KHOL QUIMICA;ES;Não - Homologar;15,3000;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0452;CARBOPOL 940;192,78;12,1600;ALPHA QUIMICA2;ES;Não - Homologar;7,4776;;;;;40;5;60;A HOMOLOGAR;;23/03/2026
MP0477;CETIOL HE BB 5 / POLYMOL HE;500,28;5,9700;BASF;SP;Não - Homologar;4,8100;;;;;200KG;4 dias úteis;90 dias;A HOMOLOGAR;;23/03/2026
MP0476;PALMITATO DE ISOPROPILA/ POLIMOL IPP/SP CRODAMOL IPP MBAL-LQ-(BR);749,65;6,3800;MAIAN;SP;Não - Homologar;3,3480;;;;;;imediato;30 a 120 dias;A HOMOLOGAR;;23/03/2026
MP0480;ÓLEO DE ROSA MOSQUETA GRAN OILS / SENSIOIL RMO ÓLEO DE ROSA MOSQUETA/ VM10076;4290,25;4,2300;PHYTOVITAL;SP;Não - Homologar;8,0000;;;;;4;;;A HOMOLOGAR;;23/03/2026
MP0481;EXTRATO DE SALVIA (EXTRATO GLICÓLICO DE SALVIA);35,63;2,1500;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0485;LAURILETERSULFATO DE SODIO M /A 27%/ALKOPON N (EXT LESS C27/SS LAC 270) ONU N/C;2410,48;1,1200;CHEMAX;ES;Não - Homologar;1,0500;;;;;150;2;;A HOMOLOGAR;;23/03/2026
MP0483;PHYTOATTIVE CAMOMILA GLIC;1,78;4,3000;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026
MP0491;EXTRATO DE FLOR DE LOTUS (EXTRATO GLICÓLICO FLOR DE LOTUS);3,78;2,1500;KHOL QUIMICA;ES;Não - Homologar;3,6346;;;;;5;2 DIAS ÚTEIS;10 DIAS UTEIS;A HOMOLOGAR;;23/03/2026